"0" "1" "2" "3" "4" "5" "6" "7" "8" "9" "10" "11" "12" "13" "14" "15" "16" "17" "18" "19" "20" "21" "22" "23" "24" "25" "26" "27" "28" "29" "30" "31" "32" "33" "34" "35" "36" "37" "38" "39" "40" "41" "42" "43" "44" "45" "46" "47" "48" "49" "50" "51" "52" "53" "54" "55" "56" "57" "58" "59" "60" "61" "62" "63" "64" "65" "66" "67" "68" "69" "70" "71" "72" "73" "74" "75" "76" "77" "78" "79" "80" "81" "82" "83" "84" "85" "86" "87" "88" "89" "90" "91" "92" "93" "94" "95" "96" "97" "98" "99" "100" "101" "102" "103" "104" "105" "106" "107" "108" "109" "110"
"1922" 0.0815 0.02613 0.01257 0.0062 0.00437 0.00382 0.00306 0.00248 0.00206 0.00185 0.00178 0.00169 0.00173 0.00183 0.00206 0.00219 0.00253 0.00274 0.00295 0.00321 0.00343 0.00342 0.0036 0.00357 0.00385 0.00371 0.0038 0.00398 0.00414 0.0042 0.00416 0.00427 0.00464 0.00474 0.00502 0.00515 0.00535 0.0055 0.0061 0.00614 0.0061 0.00617 0.00741 0.00714 0.00735 0.0081 0.00828 0.00884 0.00977 0.01045 0.01088 0.01103 0.0136 0.01422 0.01505 0.0148 0.01741 0.01855 0.02093 0.02205 0.02268 0.02381 0.03045 0.03198 0.03495 0.03817 0.03703 0.04281 0.04948 0.05314 0.05624 0.0597 0.07561 0.08059 0.08671 0.09614 0.10115 0.11 0.12263 0.13181 0.13818 0.14737 0.17191 0.1771 0.20953 0.21179 0.23449 0.25125 0.26034 0.28238 0.29841 0.31306 0.33659 0.35259 0.39818 0.42232 0.44702 0.47201 0.49716 0.52234 0.54743 0.57231 0.59684 0.62092 0.64444 0.66729 0.68941 0.7107 0.73112 0.75061 0.76915
"1923" 0.07331 0.02011 0.00811 0.00546 0.00345 0.00314 0.00265 0.00226 0.00188 0.00183 0.00162 0.0015 0.00156 0.00174 0.00191 0.00218 0.00233 0.00258 0.00283 0.00297 0.00307 0.00318 0.00326 0.00328 0.00348 0.00348 0.00351 0.00361 0.0037 0.0037 0.00372 0.00374 0.00414 0.00419 0.00418 0.00452 0.00456 0.00485 0.00551 0.00554 0.00569 0.00568 0.00649 0.00662 0.0068 0.00765 0.00795 0.00822 0.00912 0.00953 0.0101 0.00965 0.01171 0.01324 0.01436 0.0137 0.01601 0.01706 0.01933 0.02096 0.0216 0.02172 0.02663 0.03083 0.03228 0.03564 0.03481 0.03815 0.04526 0.04942 0.05181 0.05381 0.0669 0.07457 0.07922 0.08514 0.09509 0.09793 0.11044 0.11772 0.12759 0.13248 0.15847 0.16956 0.18167 0.19908 0.21969 0.23105 0.25116 0.27514 0.28442 0.25631 0.31592 0.33791 0.34885 0.39341 0.41692 0.44079 0.46491 0.48919 0.5135 0.53773 0.56178 0.58553 0.60889 0.63175 0.65404 0.67568 0.69659 0.71672 0.73603
"1924" 0.0806 0.02383 0.00944 0.00569 0.00433 0.00329 0.00266 0.00222 0.00186 0.0017 0.00162 0.00158 0.00161 0.00175 0.002 0.00216 0.0024 0.00266 0.00283 0.00305 0.00309 0.00325 0.00334 0.0035 0.00346 0.00341 0.00347 0.00377 0.00364 0.00369 0.00406 0.00384 0.004 0.00406 0.00444 0.0047 0.00497 0.00506 0.00533 0.00588 0.0061 0.00579 0.00661 0.00665 0.00726 0.00764 0.00791 0.00885 0.00917 0.00999 0.01088 0.0105 0.01206 0.0126 0.01497 0.0144 0.01708 0.0173 0.01965 0.02114 0.0238 0.02311 0.02688 0.02998 0.03445 0.03754 0.0368 0.0408 0.047 0.05211 0.05772 0.05781 0.06892 0.07752 0.08773 0.0948 0.09948 0.10568 0.11864 0.12536 0.139 0.14182 0.16319 0.17938 0.20063 0.20757 0.22632 0.24303 0.25422 0.28318 0.30434 0.31141 0.31685 0.34644 0.38728 0.41153 0.4357 0.46022 0.48496 0.5098 0.53463 0.55931 0.58374 0.60779 0.63136 0.65435 0.67667 0.69823 0.71898 0.73886 0.75782
"1925" 0.08041 0.02236 0.00901 0.00569 0.00413 0.00382 0.00253 0.00219 0.00197 0.00173 0.00164 0.00155 0.00165 0.00172 0.00202 0.00226 0.00243 0.00269 0.00283 0.00305 0.00316 0.00317 0.00321 0.00328 0.00339 0.00342 0.00353 0.00359 0.00367 0.00363 0.00372 0.00366 0.00412 0.00381 0.00418 0.00427 0.00449 0.00487 0.00535 0.00557 0.00585 0.00582 0.00658 0.00646 0.00683 0.00773 0.00778 0.00847 0.00918 0.00998 0.01061 0.01052 0.01219 0.01247 0.0141 0.01452 0.01631 0.01719 0.01899 0.02039 0.02265 0.02267 0.02729 0.02826 0.03176 0.03761 0.03584 0.03953 0.04577 0.0497 0.05612 0.05773 0.06737 0.07382 0.08294 0.09475 0.10135 0.10467 0.11587 0.12187 0.13798 0.13974 0.15897 0.17905 0.20171 0.21231 0.22899 0.25202 0.26581 0.283 0.30417 0.30003 0.35103 0.36454 0.37207 0.42739 0.45308 0.47903 0.50511 0.53118 0.5571 0.58273 0.60794 0.63261 0.65662 0.67987 0.70229 0.72379 0.74431 0.76383 0.78231
"1926" 0.07539 0.01934 0.00785 0.00487 0.00374 0.00336 0.00281 0.00207 0.00187 0.00165 0.00143 0.00148 0.00145 0.00159 0.00177 0.00202 0.00227 0.00247 0.00274 0.0029 0.00292 0.00306 0.00302 0.00315 0.00325 0.00331 0.00346 0.0035 0.00342 0.00353 0.00352 0.00355 0.00378 0.00391 0.00389 0.00414 0.0045 0.00468 0.00523 0.00527 0.00551 0.00573 0.00655 0.00623 0.00646 0.00716 0.00758 0.00814 0.009 0.00957 0.0101 0.01025 0.01187 0.01231 0.01297 0.0135 0.01618 0.01651 0.0185 0.01951 0.02132 0.02167 0.02601 0.02849 0.03008 0.03428 0.03567 0.03902 0.04404 0.04821 0.05278 0.05493 0.06683 0.07152 0.07667 0.08774 0.09713 0.10273 0.11042 0.11676 0.12793 0.13554 0.15518 0.1683 0.1877 0.20593 0.22439 0.22977 0.25858 0.27929 0.28973 0.2908 0.32234 0.34478 0.33465 0.40535 0.42972 0.45441 0.47928 0.50423 0.52914 0.55388 0.57834 0.60241 0.62598 0.64897 0.67128 0.69285 0.71361 0.73351 0.75252
"1927" 0.07364 0.02038 0.00867 0.00519 0.00382 0.00322 0.00257 0.00231 0.00175 0.0017 0.00159 0.0015 0.00152 0.00156 0.0018 0.00209 0.00236 0.00255 0.00277 0.00287 0.00301 0.00312 0.00319 0.00322 0.00322 0.00332 0.00344 0.00352 0.00355 0.00358 0.0038 0.00363 0.00384 0.00401 0.00418 0.00446 0.00465 0.00502 0.00529 0.00565 0.00592 0.00585 0.00698 0.00694 0.00703 0.00746 0.00816 0.00881 0.00923 0.01016 0.01073 0.01073 0.01249 0.01322 0.01409 0.01365 0.01619 0.01739 0.01956 0.02057 0.02241 0.02267 0.02717 0.02999 0.03294 0.03592 0.03591 0.04179 0.04646 0.05248 0.05614 0.05698 0.07055 0.0781 0.0847 0.09171 0.10559 0.11074 0.12229 0.12854 0.13844 0.1421 0.17186 0.18044 0.20247 0.20756 0.24755 0.25966 0.27015 0.291 0.29974 0.31074 0.33135 0.36089 0.3866 0.42839 0.45344 0.47871 0.50408 0.52943 0.55462 0.57954 0.60406 0.62807 0.65147 0.67417 0.69609 0.71717 0.73734 0.75658 0.77484
"1928" 0.07154 0.01779 0.00759 0.00463 0.00357 0.00326 0.0026 0.00218 0.00209 0.00165 0.00161 0.00158 0.00154 0.00165 0.00179 0.00197 0.0024 0.00258 0.00285 0.00288 0.00299 0.00314 0.00305 0.00314 0.00329 0.00317 0.00325 0.00336 0.00349 0.00338 0.0035 0.00354 0.00389 0.00381 0.00414 0.00418 0.00424 0.00447 0.00493 0.00529 0.00548 0.00552 0.00637 0.00658 0.00668 0.00704 0.00717 0.00783 0.009 0.00956 0.01008 0.01005 0.01179 0.01255 0.01369 0.01332 0.01498 0.01627 0.01931 0.02007 0.02111 0.02173 0.02502 0.02821 0.03123 0.03625 0.03357 0.03832 0.04515 0.04906 0.05236 0.05553 0.06506 0.07228 0.08093 0.08581 0.09204 0.10415 0.11522 0.12185 0.12915 0.13462 0.15264 0.16329 0.193 0.19931 0.21862 0.23838 0.2514 0.26782 0.2858 0.28768 0.34529 0.33452 0.36807 0.40474 0.42943 0.45447 0.47974 0.50512 0.53048 0.55568 0.5806 0.60513 0.62915 0.65255 0.67526 0.69717 0.71824 0.7384 0.75761
"1929" 0.07902 0.02397 0.01015 0.00581 0.00416 0.00376 0.00281 0.00228 0.00198 0.00185 0.00153 0.00158 0.00162 0.00175 0.00192 0.00213 0.00245 0.00274 0.00295 0.003 0.00335 0.00333 0.00317 0.00332 0.00342 0.00339 0.0034 0.00352 0.00354 0.00374 0.00375 0.00371 0.00406 0.00411 0.00441 0.00462 0.00483 0.00486 0.00541 0.00563 0.006 0.00597 0.00719 0.00707 0.00756 0.00792 0.00832 0.00858 0.00979 0.01078 0.01161 0.01114 0.01313 0.01397 0.01554 0.01507 0.0175 0.01737 0.02048 0.02257 0.02441 0.02392 0.02852 0.03132 0.03482 0.03999 0.04036 0.04241 0.0483 0.05622 0.06069 0.06303 0.07482 0.08271 0.09357 0.10178 0.11053 0.11776 0.13619 0.14535 0.15068 0.15684 0.18145 0.1932 0.21905 0.23546 0.25746 0.27379 0.29606 0.31693 0.32465 0.3376 0.36966 0.38211 0.41666 0.46406 0.49067 0.51736 0.54397 0.57036 0.59637 0.62188 0.64675 0.67088 0.69415 0.71649 0.73783 0.75812 0.77733 0.79544 0.81244
"1930" 0.06688 0.01486 0.00652 0.00427 0.00365 0.00333 0.0027 0.00214 0.00184 0.0017 0.00162 0.00138 0.00151 0.00159 0.00176 0.00201 0.00233 0.00255 0.00271 0.00284 0.00293 0.00302 0.00307 0.00307 0.00315 0.00313 0.00319 0.00327 0.00324 0.00335 0.00349 0.00348 0.00371 0.00371 0.00384 0.00405 0.00428 0.00422 0.00471 0.00493 0.00532 0.00515 0.00622 0.00608 0.00627 0.00707 0.0074 0.00796 0.00831 0.00922 0.00993 0.00988 0.01143 0.01214 0.01331 0.01353 0.01526 0.01589 0.01778 0.01972 0.02159 0.0218 0.02498 0.02721 0.02959 0.03407 0.03484 0.03849 0.04173 0.04594 0.05297 0.0542 0.06359 0.06955 0.07652 0.08309 0.09262 0.09689 0.10901 0.11943 0.12501 0.13028 0.14824 0.16141 0.17907 0.19562 0.21043 0.22782 0.2286 0.25011 0.27477 0.27744 0.30697 0.33372 0.34302 0.38366 0.40726 0.43131 0.45572 0.48036 0.50512 0.52988 0.55452 0.57891 0.60295 0.62652 0.64952 0.67188 0.69349 0.71431 0.73427
"1931" 0.07124 0.01655 0.00703 0.00448 0.00354 0.0032 0.00252 0.00207 0.00167 0.00152 0.0014 0.00151 0.00127 0.00151 0.00174 0.00199 0.00235 0.00254 0.00275 0.00292 0.00303 0.00308 0.00325 0.00323 0.00316 0.00316 0.00318 0.00318 0.00336 0.00343 0.00341 0.00345 0.00369 0.00364 0.00395 0.00404 0.00428 0.0044 0.00475 0.00496 0.00522 0.00546 0.00613 0.00629 0.00654 0.0072 0.0078 0.00807 0.00883 0.00936 0.00983 0.01056 0.01204 0.01256 0.01324 0.01372 0.01574 0.01686 0.01889 0.01959 0.02118 0.02311 0.02617 0.02864 0.03041 0.03448 0.03644 0.04109 0.0455 0.04898 0.05375 0.05959 0.06761 0.07334 0.08123 0.08787 0.09885 0.10643 0.11971 0.13106 0.13771 0.14528 0.16187 0.18023 0.20197 0.2142 0.2423 0.24908 0.26962 0.2834 0.30548 0.31814 0.34107 0.36593 0.38553 0.42712 0.45228 0.47768 0.50319 0.52869 0.55404 0.57911 0.60379 0.62796 0.65151 0.67435 0.69641 0.71761 0.73789 0.75723 0.77558
